Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
20,Random AI,Tree AI,"(3, 1)","(4, 0)",Black - Tree AI,17.0,3.0,31,38,-7,1498
21,Tree AI,Random AI,"(3, 3)","(5, 2)",White - Tree AI,18.0,3.0,38,27,11,1988
22,Random AI,Tree AI,"(3, 7)","(4, 3)",Black - Tree AI,19.0,3.0,2,38,-36,2788
23,Tree AI,Random AI,"(3, 1)","(5, 4)",White - Tree AI,20.0,3.0,36,4,32,3286
24,Tree AI,Random AI,"(2, 3)","(5, 0)",White - Tree AI,21.0,3.0,37,6,31,4066
25,Random AI,Tree AI,"(3, 1)","(4, 5)",Black - Tree AI,22.0,3.0,2,35,-33,3970
26,Tree AI,Random AI,"(3, 4)","(4, 0)",White - Tree AI,23.0,3.0,37,22,15,3407
27,Tree AI,Random AI,"(2, 7)","(5, 7)",White - Tree AI,24.0,3.0,37,2,35,5002
28,Random AI,Tree AI,"(2, 2)","(5, 5)",Black - Tree AI,25.0,3.0,6,37,-31,3527
29,Tree AI,Random AI,"(3, 1)","(4, 6)",Stalemate,25.5,3.5,38,0,38,6501
30,Random AI,Tree AI,"(3, 2)","(4, 7)",Black - Tree AI,26.5,3.5,6,35,-29,3166
31,Random AI,Tree AI,"(2, 3)","(5, 1)",Black - Tree AI,27.5,3.5,5,37,-32,5769
32,Random AI,Tree AI,"(2, 6)","(4, 6)",Black - Tree AI,28.5,3.5,10,36,-26,6367
33,Random AI,Tree AI,"(3, 0)","(4, 2)",Black - Tree AI,29.5,3.5,12,33,-21,4383
34,Tree AI,Random AI,"(3, 2)","(4, 6)",White - Tree AI,30.5,3.5,34,18,16,3757
35,Tree AI,Random AI,"(3, 7)","(4, 0)",White - Tree AI,31.5,3.5,37,15,22,3499
36,Random AI,Tree AI,"(2, 2)","(5, 7)",Black - Tree AI,32.5,3.5,17,38,-21,1675
37,Tree AI,Random AI,"(2, 1)","(5, 4)",White - Tree AI,33.5,3.5,37,33,4,1731
38,Tree AI,Random AI,"(3, 6)","(5, 7)",White - Tree AI,34.5,3.5,35,12,23,6339
39,Random AI,Tree AI,"(3, 0)","(5, 4)",Black - Tree AI,35.5,3.5,2,38,-36,3451
40,Tree AI,Random AI,"(3, 2)","(5, 1)",Stalemate,36.0,4.0,37,0,37,7215
41,Tree AI,Random AI,"(3, 0)","(5, 3)",White - Tree AI,37.0,4.0,36,7,29,5177
42,Random AI,Tree AI,"(2, 3)","(4, 1)",Stalemate,37.5,4.5,1,38,-37,6338
43,Random AI,Tree AI,"(3, 0)","(5, 2)",Black - Tree AI,38.5,4.5,33,38,-5,2361
44,Tree AI,Random AI,"(3, 7)","(4, 7)",White - Tree AI,39.5,4.5,37,1,36,3572
45,Tree AI,Random AI,"(2, 6)","(4, 3)",White - Tree AI,40.5,4.5,37,2,35,7327
46,Random AI,Tree AI,"(2, 7)","(4, 7)",Black - Tree AI,41.5,4.5,20,33,-13,4779
